"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2011","European Union - 28 countries (2013-2020)","Total","Total","Number","502,964,837","b"
"2011","Belgium","Total","Total","Number","11,000,638","b"
"2011","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Total","Number","1,136,778","b"
"2011","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Total","Number","1,136,778","b"
"2011","Vlaams Gewest","Total","Total","Number","6,325,740","b"
"2011","Prov. Antwerpen","Total","Total","Number","1,773,267","b"
"2011","Prov. Limburg (BE)","Total","Total","Number","846,851","b"
"2011","Prov. Oost-Vlaanderen","Total","Total","Number","1,448,928","b"
"2011","Prov. Vlaams-Brabant","Total","Total","Number","1,088,692","b"
"2011","Prov. West-Vlaanderen","Total","Total","Number","1,168,002","b"
"2011","Région wallonne","Total","Total","Number","3,538,120","b"
"2011","Prov. Brabant wallon","Total","Total","Number","383,648","b"
"2011","Prov. Hainaut","Total","Total","Number","1,319,745","b"
"2011","Prov. Liège","Total","Total","Number","1,082,136","b"
"2011","Prov. Luxembourg (BE)","Total","Total","Number","273,205","b"
"2011","Prov. Namur","Total","Total","Number","479,386","b"
"2011","Bulgaria","Total","Total","Number","7,369,431",""
"2011","Severna i yugoiztochna Bulgaria","Total","Total","Number","3,755,275",""
"2011","Severozapaden","Total","Total","Number","848,230",""
"2011","Severen tsentralen","Total","Total","Number","862,120",""
"2011","Severoiztochen","Total","Total","Number","966,328",""
"2011","Yugoiztochen","Total","Total","Number","1,078,597",""
"2011","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Total","Number","3,614,156",""
"2011","Yugozapaden","Total","Total","Number","2,133,731",""
"2011","Yuzhen tsentralen","Total","Total","Number","1,480,425",""
"2011","Czechia","Total","Total","Number","10,486,731",""
"2011","Cesko","Total","Total","Number","10,486,731",""
"2011","Praha","Total","Total","Number","1,234,037",""
"2011","Strední Cechy","Total","Total","Number","1,264,986",""
"2011","Jihozápad","Total","Total","Number","1,207,027",""
"2011","Severozápad","Total","Total","Number","1,132,252",""
"2011","Severovýchod","Total","Total","Number","1,508,735",""
"2011","Jihovýchod","Total","Total","Number","1,675,872",""
"2011","Strední Morava","Total","Total","Number","1,229,117",""
"2011","Moravskoslezsko","Total","Total","Number","1,234,705",""
"2011","Denmark","Total","Total","Number","5,560,628",""
"2011","Danmark","Total","Total","Number","5,560,628",""
"2011","Hovedstaden","Total","Total","Number","1,699,387",""
"2011","Sjælland","Total","Total","Number","819,763",""
"2011","Syddanmark","Total","Total","Number","1,200,656",""
"2011","Midtjylland","Total","Total","Number","1,260,993",""
"2011","Nordjylland","Total","Total","Number","579,829",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,222,065","b"
"2011","Baden-Württemberg","Total","Total","Number","10,478,505","b"
"2011","Stuttgart","Total","Total","Number","3,910,637","b"
"2011","Karlsruhe","Total","Total","Number","2,663,588","b"
"2011","Freiburg","Total","Total","Number","2,142,723","b"
"2011","Tübingen","Total","Total","Number","1,761,557","b"
"2011","Bayern","Total","Total","Number","12,383,404","b"
"2011","Oberbayern","Total","Total","Number","4,313,946","b"
"2011","Niederbayern","Total","Total","Number","1,172,475","b"
"2011","Oberpfalz","Total","Total","Number","1,071,424","b"
"2011","Oberfranken","Total","Total","Number","1,065,322","b"
"2011","Mittelfranken","Total","Total","Number","1,679,849","b"
"2011","Unterfranken","Total","Total","Number","1,302,144","b"
"2011","Schwaben","Total","Total","Number","1,778,244","b"
"2011","Berlin","Total","Total","Number","3,278,346","b"
"2011","Berlin","Total","Total","Number","3,278,346","b"
"2011","Brandenburg","Total","Total","Number","2,461,242","b"
"2011","Brandenburg","Total","Total","Number","2,461,242","b"
"2011","Bremen","Total","Total","Number","651,467","b"
"2011","Bremen","Total","Total","Number","651,467","b"
"2011","Hamburg","Total","Total","Number","1,705,700","b"
"2011","Hamburg","Total","Total","Number","1,705,700","b"
"2011","Hessen","Total","Total","Number","5,969,408","b"
"2011","Darmstadt","Total","Total","Number","3,734,199","b"
"2011","Gießen","Total","Total","Number","1,027,159","b"
"2011","Kassel","Total","Total","Number","1,208,050","b"
"2011","Mecklenburg-Vorpommern","Total","Total","Number","1,614,789","b"
"2011","Mecklenburg-Vorpommern","Total","Total","Number","1,614,789","b"
"2011","Niedersachsen","Total","Total","Number","7,778,828","b"
"2011","Braunschweig","Total","Total","Number","1,579,623","b"
"2011","Hannover","Total","Total","Number","2,093,945","b"
"2011","Lüneburg","Total","Total","Number","1,669,999","b"
"2011","Weser-Ems","Total","Total","Number","2,435,261","b"
"2011","Nordrhein-Westfalen","Total","Total","Number","17,545,192","b"
"2011","Düsseldorf","Total","Total","Number","5,081,231","b"
"2011","Köln","Total","Total","Number","4,282,911","b"
"2011","Münster","Total","Total","Number","2,568,358","b"
"2011","Detmold","Total","Total","Number","2,031,337","b"
"2011","Arnsberg","Total","Total","Number","3,581,355","b"
"2011","Rheinland-Pfalz","Total","Total","Number","3,994,185","b"
"2011","Koblenz","Total","Total","Number","1,486,160","b"
"2011","Trier","Total","Total","Number","518,554","b"
"2011","Rheinhessen-Pfalz","Total","Total","Number","1,989,471","b"
"2011","Saarland","Total","Total","Number","1,001,879","b"
"2011","Saarland","Total","Total","Number","1,001,879","b"
"2011","Sachsen","Total","Total","Number","4,066,256","b"
"2011","Dresden","Total","Total","Number","1,594,568","b"
"2011","Chemnitz","Total","Total","Number","1,505,254","b"
"2011","Leipzig","Total","Total","Number","966,434","b"
"2011","Sachsen-Anhalt","Total","Total","Number","2,297,386","b"
"2011","Sachsen-Anhalt","Total","Total","Number","2,297,386","b"
"2011","Schleswig-Holstein","Total","Total","Number","2,800,134","b"
"2011","Schleswig-Holstein","Total","Total","Number","2,800,134","b"
"2011","Thüringen","Total","Total","Number","2,195,344","b"
"2011","Thüringen","Total","Total","Number","2,195,344","b"
"2011","Estonia","Total","Total","Number","1,329,660",""
"2011","Eesti","Total","Total","Number","1,329,660",""
"2011","Eesti","Total","Total","Number","1,329,660",""
"2011","Ireland","Total","Total","Number","4,570,881",""
"2011","Éire/Ireland","Total","Total","Number","4,570,881",""
"2011","Greece","Total","Total","Number","11,123,392",""
"2011","Voreia Ellada","Total","Total","Number","3,169,412",""
"2011","Anatoliki Makedonia, Thraki","Total","Total","Number","611,573",""
"2011","Kentriki Makedonia","Total","Total","Number","1,925,437",""
"2011","Dytiki Makedonia","Total","Total","Number","285,899",""
"2011","Ipeiros","Total","Total","Number","346,503",""
"2011","Kentriki Ellada","Total","Total","Number","2,799,110",""
"2011","Thessalia","Total","Total","Number","747,690",""
